Date,Open,High,Low,Close
21-03-2012,160.63,161.479996,160.149994,160.210007
22-03-2012,158.20,159.710007,158.130005,159.570007
23-03-2012,160.88,161.880005,160.520004,161.529999
26-03-2012,163.17,164.539993,162.949997,164.399994
27-03-2012,164.52,164.889999,163.130005,163.240005
28-03-2012,162.71,162.979996,160.660004,161.509995
29-03-2012,161.14,161.460007,159.809998,161.279999
30-03-2012,161.67,162.330002,161.220001,162.119995
02-04-2012,161.96,163.559998,161.809998,162.940002
03-04-2012,163.23,163.229996,159.169998,159.889999
04-04-2012,157.70,158.029999,156.580002,157.210007
05-04-2012,157.87,158.679993,157.779999,158.309998
09-04-2012,159.72,160.009995,158.910004,159.369995
10-04-2012,159.66,161.580002,158.470001,161.100006
11-04-2012,161.20,161.539993,160.740005,161.070007
12-04-2012,160.74,163.199997,160.460007,162.699997
13-04-2012,162.45,162.460007,160.169998,160.850006
16-04-2012,160.51,161.179993,159.529999,160.460007
17-04-2012,160.54,160.960007,158.75,160.25
18-04-2012,159.49,160.119995,159.070007,159.309998
19-04-2012,160.00,160.639999,159.020004,159.429993
20-04-2012,159.25,159.910004,159.199997,159.539993
23-04-2012,158.20,159.179993,157.880005,159.070007
24-04-2012,159.63,160.179993,159.289993,159.300003
25-04-2012,159.48,159.960007,157.759995,159.619995
26-04-2012,160.46,161.380005,160.100006,161.029999
27-04-2012,161.78,161.970001,161.149994,161.380005
30-04-2012,160.49,161.880005,160.309998,161.880005
01-05-2012,162.09,162.179993,160.889999,161.320007
02-05-2012,160.74,160.779999,159.759995,160.589996
03-05-2012,159.16,159.479996,158.369995,158.970001
04-05-2012,158.82,159.979996,158.570007,159.470001
07-05-2012,159.31,159.339996,158.449997,159.080002
08-05-2012,156.61,156.729996,154.919998,156
09-05-2012,154.10,154.979996,153.600006,154.470001
10-05-2012,155.16,155.570007,154.639999,154.770004
11-05-2012,153.44,154.470001,153.240005,153.559998
14-05-2012,151.58,152.029999,151,151.330002
15-05-2012,151.16,151.440002,149.630005,149.740005
16-05-2012,149.48,150.699997,148.600006,149.460007
17-05-2012,150.83,153.399994,150.380005,152.800003
18-05-2012,154.46,155.130005,153.970001,154.550003
21-05-2012,154.11,154.949997,153.860001,154.649994
22-05-2012,153.59,154.419998,151.550003,152.080002
23-05-2012,151.50,151.839996,148.839996,151.619995
24-05-2012,152.71,152.910004,150.619995,151.410004
25-05-2012,151.89,152.850006,151.630005,152.679993
29-05-2012,153.47,153.619995,150.25,151.020004
30-05-2012,149.74,152.380005,148.529999,151.910004
31-05-2012,152.03,152.710007,150.619995,151.619995
01-06-2012,155.41,158.309998,154.869995,157.5
04-06-2012,157.26,157.440002,156.160004,157.320007
05-06-2012,156.92,157.270004,156.419998,157.139999
06-06-2012,158.90,159.199997,156.589996,157.210007
07-06-2012,157.82,157.839996,153.190002,154.5
08-06-2012,153.02,154.830002,153,154.729996
11-06-2012,154.83,155.399994,153.550003,155.360001
12-06-2012,155.49,157.039993,155.449997,156.460007
13-06-2012,157.61,157.649994,156.419998,157.119995
14-06-2012,157.64,157.940002,156.240005,157.75
15-06-2012,157.75,158.460007,157.419998,157.839996
18-06-2012,157.46,158.210007,156.539993,157.929993
19-06-2012,158.00,158.139999,156.970001,157.160004
20-06-2012,156.00,157.369995,154.259995,155.970001
21-06-2012,153.73,154.229996,151.800003,152.020004
22-06-2012,152.04,152.699997,151.210007,152.639999
25-06-2012,152.58,154.160004,152.25,153.759995
26-06-2012,153.03,153.300003,152.130005,152.619995
27-06-2012,153.30,153.449997,152.149994,152.830002
28-06-2012,151.90,152.160004,150.149994,151.050003
29-06-2012,155.13,155.949997,154.520004,155.190002
02-07-2012,154.67,155.550003,154.339996,155.089996
03-07-2012,156.97,157.720001,156.770004,157.460007
05-07-2012,155.44,156.399994,154.449997,155.679993
06-07-2012,154.23,154.490005,152.949997,153.710007
09-07-2012,153.61,154.580002,153.429993,154.039993
10-07-2012,155.13,155.179993,151.779999,152.149994
11-07-2012,152.58,153.449997,152.020004,152.990005
12-07-2012,151.26,153.070007,150.850006,152.589996
13-07-2012,153.45,154.940002,153.440002,154.139999
16-07-2012,154.43,154.75,153.979996,154.210007
17-07-2012,154.01,154.5,152.449997,153.470001
18-07-2012,152.67,153.600006,152.399994,153.050003
19-07-2012,153.73,154.320007,152.929993,153.380005
20-07-2012,152.97,154,152.75,153.669998
23-07-2012,152.50,153.330002,152.289993,153.029999
24-07-2012,153.63,153.800003,152.199997,153.520004
25-07-2012,155.33,156.289993,155.050003,155.669998
26-07-2012,156.70,157.259995,156.050003,156.770004
27-07-2012,157.64,157.960007,156.660004,157.539993
30-07-2012,156.84,157.660004,154.809998,157.429993
31-07-2012,157.60,157.720001,156.259995,156.490005
01-08-2012,155.18,155.789993,154.410004,155.139999
02-08-2012,154.66,155.139999,153.610001,154.130005
03-08-2012,154.65,155.889999,154.419998,155.550003
06-08-2012,155.92,156.729996,155.740005,156.300003
07-08-2012,156.37,156.630005,156.009995,156.279999
08-08-2012,156.49,156.860001,156.259995,156.479996
09-08-2012,156.36,157,156.279999,156.990005
